epoch;acc;loss;val_acc;val_loss
0;0.4889705876509349;0.7304271237522948;0.5245098033372093;0.7001977562904358
0;0.5073529423451891;0.7403320938933129;0.47549019490971284;0.7082110479766247
0;0.5465686262822619;0.7190009928217121;0.47549019490971284;0.7426916372542288
0;0.495098038631327;0.7273264831187678;0.5245098033372093;0.7074849979550231
1;0.49754901960784315;0.7353609028984519;0.47549019490971284;0.7299678185406853
2;0.49264705940788867;0.7356844182107963;0.47549019490971284;0.7593072243765289
3;0.4987745092195623;0.7316727030510995;0.47549019490971284;0.7069218111973182
4;0.5220588223606932;0.714015545798283;0.47549019490971284;0.6987779853390712
5;0.5208333345020518;0.7143291223282907;0.47549019490971284;0.699374209432041
6;0.4877450980392157;0.7251333021650127;0.47549019490971284;0.6950849738775515
7;0.5196078431372549;0.7135708191815544;0.47549019490971284;0.7112812843977236
8;0.5098039215686274;0.7244806558478112;0.5196078419685364;0.6917082842658547
9;0.5159313731333789;0.7235469444125306;0.5245098033372093;0.6980236453168532
10;0.5061274503960329;0.7141504614960914;0.5245098033372093;0.701657469366111
11;0.5367647052979937;0.7028815699558632;0.5245098033372093;0.729938664857079
12;0.53063725548632;0.6975079435928195;0.5245098033372093;0.705868688284182
13;0.4987745092195623;0.7206385825194564;0.5245098033372093;0.6933929733201569
14;0.5318627456823984;0.7011600534121195;0.5245098033372093;0.7012832492005592
15;0.5036764694195167;0.709884428510479;0.5245098033372093;0.7006607020602507
16;0.4938725478508893;0.7071297846588434;0.5049019619530323;0.6922992409444323
17;0.522058824113771;0.7064123960102305;0.5245098033372093;0.6979378613771177
18;0.4938725484352486;0.7077645647759531;0.4950980403844048;0.6967533616458669
19;0.49264705940788867;0.7145448397187626;0.47549019490971284;0.7109102174347522
20;0.4852941182314181;0.7117094432606417;0.47549019607843135;0.6935721483885073
21;0.5208333339176926;0.7080605123557296;0.48039215569402655;0.6960795077623105
22;0.5257352941176471;0.7012385164990145;0.5245098033372093;0.6937601788371217
23;0.5245098050902871;0.7052817449850195;0.5245098033372093;0.6926715689546922
24;0.4852941176470588;0.7048599357698478;0.5245098033372093;0.7106408605388567
25;0.48529411881577733;0.7066937860320596;0.5245098033372093;0.719033700578353
26;0.5024509803921569;0.705108807367437;0.5245098033372093;0.6931244029718286
27;0.4950980380469677;0.7047086965804007;0.5245098033372093;0.6933345841426476
28;0.4987745098039216;0.7040354270561069;0.5245098033372093;0.6934784054756165
29;0.4999999994156407;0.7019683578435112;0.5245098033372093;0.6987369492942211
30;0.5122549019607843;0.7008588372492323;0.5245098033372093;0.6958844240973977
31;0.4963235294117647;0.7086194601713443;0.5245098033372093;0.6948826546762504
32;0.46078431430984945;0.7146023628758449;0.5245098033372093;0.6932844636487026
33;0.5281862733410854;0.696404329701966;0.5049019596155953;0.6941983547865176
34;0.49142156745873244;0.7023058498606962;0.47549019490971284;0.6978385495204552
35;0.47794117647058826;0.7096169567575642;0.5147058811842227;0.6930827545184716
36;0.5024509803921569;0.698563954409431;0.5245098033372093;0.6919201063174828
37;0.47058823470975836;0.7094023192630095;0.5245098033372093;0.6922658833802915
38;0.4742647064667122;0.7033048272132874;0.5245098033372093;0.6921383773579317
39;0.4987745092195623;0.7010996061212876;0.5245098033372093;0.6935600007281584
